            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2411566.500000000, A.D. 1890-Jul-18 00:00:00.0000, -3.017075775334994E+01,  1.379774372191851E+01, -2.101017125007468E+01, -1.515656261537230E-03,  1.006091076323189E-03, -5.080116652500031E-04,  2.268006891362299E-01,  3.926932201075709E+01,  1.789786357933289E-03,
2411608.166666667, A.D. 1890-Aug-28 16:00:00.0000, -3.023378210590969E+01,  1.383960562863748E+01, -2.103124929384506E+01, -1.509516338259970E-03,  1.003281683451940E-03, -5.037377658347965E-04,  2.272304794173090E-01,  3.934373789110152E+01,  1.782180575108188E-03,
2411649.833333333, A.D. 1890-Oct-09 08:00:00.0000, -3.029655108647517E+01,  1.388135063150511E+01, -2.105214967335516E+01, -1.503398370530914E-03,  1.000479680138632E-03, -4.994837477043948E-04,  2.276584427579257E-01,  3.941783744651062E+01,  1.774602716011945E-03,
2411691.500000000, A.D. 1890-Nov-20 00:00:00.0000, -3.035906560546934E+01,  1.392297903701163E+01, -2.107287321288048E+01, -1.497302147997867E-03,  9.976849989721897E-04, -4.952494139886366E-04,  2.280845858454700E-01,  3.949162183487014E+01,  1.767052512303425E-03,
2411733.166666667, A.D. 1890-Dec-31 16:00:00.0000, -3.042132656460488E+01,  1.396449114885995E+01, -2.109342072855146E+01, -1.491227462904558E-03,  9.948975735493320E-04, -4.910345705636982E-04,  2.285089153031817E-01,  3.956509220295850E+01,  1.759529699135562E-03,
2411774.833333333, A.D. 1891-Feb-11 08:00:00.0000, -3.048333485699169E+01,  1.400588726800449E+01, -2.111379302846592E+01, -1.485174110080997E-03,  9.921173383489630E-04, -4.868390260018017E-04,  2.289314376909757E-01,  3.963824968658973E+01,  1.752034015083142E-03,
2411816.500000000, A.D. 1891-Mar-25 00:00:00.0000, -3.054509136724495E+01,  1.404716769268951E+01, -2.113399091280285E+01, -1.479141886934991E-03,  9.893442288174607E-04, -4.826625916132709E-04,  2.293521595062757E-01,  3.971109541075788E+01,  1.744565202194820E-03,
2411858.166666667, A.D. 1891-May-05 16:00:00.0000, -3.060659697158937E+01,  1.408833271848997E+01, -2.115401517393314E+01, -1.473130593292065E-03,  9.865781813636276E-04, -4.785050812666708E-04,  2.297710871848271E-01,  3.978363048977774E+01,  1.737123005778436E-03,
2411899.833333333, A.D. 1891-Jun-16 08:00:00.0000, -3.066785253795863E+01,  1.412938263834948E+01, -2.117386659652374E+01, -1.467140031359405E-03,  9.838191332745109E-04, -4.743663113047857E-04,  2.301882271014648E-01,  3.985585602741774E+01,  1.729707174304802E-03,
2411941.500000000, A.D. 1891-Jul-28 00:00:00.0000, -3.072885892609394E+01,  1.417031774261697E+01, -2.119354595764023E+01, -1.461170005676051E-03,  9.810670227103060E-04, -4.702461005017674E-04,  2.306035855708707E-01,  3.992777311703117E+01,  1.722317459350612E-03,
2411983.166666667, A.D. 1891-Sep-07 16:00:00.0000, -3.078961698763999E+01,  1.421113831908209E+01, -2.121305402684618E+01, -1.455220323071377E-03,  9.783217886594972E-04, -4.661442699840593E-04,  2.310171688483082E-01,  3.999938284168329E+01,  1.714953615514314E-03,
2412024.833333333, A.D. 1891-Oct-19 08:00:00.0000, -3.085012756624035E+01,  1.425184465300961E+01, -2.123239156630140E+01, -1.449290792648285E-03,  9.755833709534027E-04, -4.620606432401443E-04,  2.314289831303502E-01,  4.007068627427746E+01,  1.707615400419048E-03,
2412066.500000000, A.D. 1891-Nov-30 00:00:00.0000, -3.091039149762933E+01,  1.429243702717564E+01, -2.125155933085782E+01, -1.443381225637504E-03,  9.728517102858418E-04, -4.579950459634807E-04,  2.318390345555900E-01,  4.014168447767815E+01,  1.700302574529716E-03,
2412108.166666667, A.D. 1892-Jan-10 16:00:00.0000, -3.097040960971954E+01,  1.433291572190037E+01, -2.127055806814810E+01, -1.437491435372879E-03,  9.701267480620719E-04, -4.539473059413545E-04,  2.322473292053038E-01,  4.021237850482569E+01,  1.693014901026849E-03,
2412149.833333333, A.D. 1892-Feb-21 08:00:00.0000, -3.103018272268994E+01,  1.437328101507737E+01, -2.128938851867401E+01, -1.431621237302096E-03,  9.674084264133213E-04, -4.499172531045998E-04,  2.326538731041096E-01,  4.028276939885039E+01,  1.685752145851629E-03,
2412191.500000000, A.D. 1892-Apr-03 00:00:00.0000, -3.108971164907269E+01,  1.441353318220457E+01, -2.130805141589433E+01, -1.425770448914031E-03,  9.646966882051616E-04, -4.459047194362746E-04,  2.330586722206245E-01,  4.035285819318621E+01,  1.678514077609730E-03,
2412233.166666667, A.D. 1892-May-14 16:00:00.0000, -3.114899719383693E+01,  1.445367249641343E+01, -2.132654748630859E+01, -1.419938889691360E-03,  9.619914769815027E-04, -4.419095389042029E-04,  2.334617324680913E-01,  4.042264591167943E+01,  1.671300467484271E-03,
2412274.833333333, A.D. 1892-Jun-25 08:00:00.0000, -3.120804015447091E+01,  1.449369922849712E+01, -2.134487744953855E+01, -1.414126381055026E-03,  9.592927369476251E-04, -4.379315473897764E-04,  2.338630597049925E-01,  4.049213356869488E+01,  1.664111089154347E-03,
2412316.500000000, A.D. 1892-Aug-06 00:00:00.0000, -3.126684132106150E+01,  1.453361364693590E+01, -2.136304201840583E+01, -1.408332746325036E-03,  9.566004128624148E-04, -4.339705826027843E-04,  2.342626597356344E-01,  4.056132216921698E+01,  1.656945718686224E-03,
2412358.166666667, A.D. 1892-Sep-16 16:00:00.0000, -3.132540147637455E+01,  1.457341601791959E+01, -2.138104189900922E+01, -1.402557810768295E-03,  9.539144500429878E-04, -4.300264841478459E-04,  2.346605383107300E-01,  4.063021270895086E+01,  1.649804134611502E-03,
